Date,Price,Open,High,Low,Volume,Chg%
2014-01-31,705276,704944,708269,701793,353150,0.08000000000000013
2014-02-28,603689,601931,605899,600088,266830,3.9000000000000004
2014-03-31,632104,631751,637418,626647,303190,-6.860000000000001
2014-04-30,671589,668977,674394,665979,187990,8.71
2014-05-31,624220,627110,630390,621033,284060,-13.14
2014-06-30,574723,573394,577574,570326,233850,3.45
2014-07-31,754855,754773,758875,751434,310030,-0.93
2014-08-31,591143,590703,594307,588133,219680,0.07000000000000012
2014-09-30,647151,648310,650910,644702,273150,-3.59
2014-10-31,590773,591702,594263,588432,241700,-3.26
2014-11-30,548184,547994,551964,544432,356400,-0.19999999999999973
2014-12-31,587458,586993,593056,581666,295130,2.9999999999999996
2015-01-31,631141,629946,634328,626549,432040,4.890000000000001
2015-02-28,587920,589661,592155,585584,252840,-5.19
2015-03-31,601291,601785,604772,598523,298220,-1.51
2015-04-30,560645,560210,563622,557270,235380,2.0799999999999996
2015-05-31,568587,568269,571394,565997,258610,1.0800000000000003
2015-06-30,586754,588035,589961,584319,175630,-2.1000000000000005
2015-07-31,586472,587584,590236,583820,318010,-5.87
2015-08-31,542177,540466,545183,537759,316720,6.96
2015-09-30,578996,580501,583299,576106,304659,-2.71
2015-10-31,559855,559855,562583,556900,279610,2.1599999999999997
2015-11-30,533842,535315,537742,531696,224180,-4.77
2015-12-31,554221,554662,557548,551383,225170,-0.5400000000000007
2016-01-31,520333,518976,522790,516460,364159,6.91
2016-02-29,601339,599161,606493,593395,413120,10.030000000000001
2016-03-31,640247,641686,645721,636330,509500,-3.3899999999999997
2016-04-30,609667,608535,612572,605863,337130,5.88
2016-05-31,651987,653458,656204,649514,409010,-5.16
2016-06-30,660947,658489,665057,655794,374180,7.74
2016-07-31,653152,654634,657515,649820,342340,0.9400000000000002
2016-08-31,685076,685226,688311,682424,219070,-1.08
2016-09-30,684014,684312,686649,681430,226170,0.24999999999999978
2016-10-31,657716,658702,661454,655295,173260,-2.43
2016-11-30,649421,651228,655175,645794,231890,-5.49
2016-12-31,607880,608790,611365,605184,175380,-2.52
2017-01-31,598404,596605,599962,594499,181910,5.34
2017-02-28,585638,584872,587837,582584,175310,1.46
2017-03-31,660413,660705,663781,657668,192830,-3.3400000000000003
2017-04-30,551370,551378,553657,549070,160259,0.9800000000000001
2017-05-31,654541,654721,657626,652324,190380,0.15999999999999992
2017-06-30,632544,632912,634803,630426,163950,-2.0700000000000003
2017-07-31,592151,592152,594183,589673,187250,1.05
2017-08-31,637597,636207,639729,633966,164080,4.029999999999999
2017-09-30,627471,628006,630658,624639,198699,-0.6599999999999999
2017-10-31,619666,620178,621512,618061,116269,-1.71
2017-11-30,647049,647357,649564,644656,151770,-0.12000000000000033
2017-12-31,575211,574942,577115,573330,106190,1.3199999999999998
2018-01-31,653101,652019,654562,650507,132470,2.3699999999999997
2018-02-28,607725,607687,610385,604714,133710,1.2400000000000002
2018-03-31,639798,639858,642099,637616,173270,0.02999999999999997
2018-04-30,651789,651826,654727,648463,152760,1.7600000000000002
2018-05-31,716374,716099,719121,713704,177959,-0.15999999999999992
2018-06-30,645198,645768,647693,643288,121430,-1.67
2018-07-31,662442,663228,665281,660310,128500,-2.4
2018-08-31,653020,652744,655410,650799,124659,1.6300000000000001
2018-09-30,611589,611419,614309,608998,187790,1.23
2018-10-31,693733,693120,696358,691085,172310,3.7399999999999998
2018-11-30,681047,682197,684517,678894,149460,-4.66
2018-12-31,626810,625648,629379,623249,158520,4.3
2019-01-31,739321,738593,742865,735620,225210,5.04
2019-02-28,664530,665502,668307,661789,174480,-0.5699999999999998
2019-03-31,672056,674510,676829,669075,259870,-3.66
2019-04-30,633593,633788,636012,631157,167720,-0.18999999999999995
2019-05-31,730397,729923,733446,726857,289630,1.6400000000000001
2019-06-30,664019,662866,667168,660527,300220,5.54
2019-07-31,796686,796767,801019,792734,401650,2.26
2019-08-31,789170,786520,793951,781946,457440,9.99
2019-09-30,799603,801427,806080,795031,450380,-3.69
2019-10-31,877492,876177,881006,872910,305950,5.28
2019-11-30,798552,799630,802627,795003,336170,-2.26
2019-12-31,800783,800570,803722,797121,215610,2.72
2020-01-31,920353,918645,925103,914703,405560,5.09
2020-02-29,865990,866205,871641,859934,340460,1.92
2020-03-31,930390,931147,944315,913601,869450,3.780000000000001
2020-04-30,822114,820917,829230,813291,390159,3.4
2020-05-31,972908,970754,979021,964420,753720,4.9399999999999995
2020-06-30,1041869,1039545,1047132,1034468,593689,4.24
2020-07-31,1149962,1147675,1155133,1140321,697450,9.32
2020-08-31,1111874,1113457,1124321,1097324,921380,-4.41
2020-09-30,1119905,1121169,1126743,1112568,538160,-1.6199999999999999
2020-10-31,1064380,1062939,1069372,1058358,470150,0.8799999999999999
2020-11-30,1104485,1107367,1113529,1097570,502370,-5.36
2020-12-31,1090892,1090107,1096543,1081805,446780,4.5200000000000005
2021-01-31,991017,992340,998051,984964,516200,-1.81
2021-02-28,939112,942754,947553,934146,422850,-7.38
2021-03-31,1027807,1029956,1034106,1022835,361520,-2.4800000000000004
2021-04-30,978431,976664,982776,971939,350840,4.5
2021-05-31,1007971,1006278,1011280,1002168,379380,5.02
2021-06-30,1051798,1054220,1058427,1047221,268310,-4.07
2021-07-31,1050681,1050713,1056535,1046208,291800,2.3
2021-08-31,1036242,1037342,1041766,1031502,216810,-1.6800000000000002
2021-09-30,1025532,1027073,1030864,1021055,255710,-1.7600000000000002
2021-10-31,992014,991120,996215,987511,235410,2.76
2021-11-30,1059927,1060804,1066559,1055221,263430,-0.060000000000000275
2021-12-31,1101753,1101590,1105101,1098067,182860,1.1700000000000002
2022-01-31,958452,958940,962210,954952,181100,-0.29000000000000004
2022-02-28,986157,984946,992842,978875,194370,5.59
2022-03-31,1193448,1193924,1203492,1184130,392239,2.33
2022-04-30,1039551,1039452,1045071,1034741,211290,0.38000000000000017
2022-05-31,1117196,1119337,1124395,1111933,198880,-1.6799999999999997
2022-06-30,1118164,1119429,1124343,1113656,194800,-0.36000000000000004
2022-07-31,1066781,1069183,1074739,1061895,216050,1.33
2022-08-31,257381,258235,258669,256498,12740,0.8899999999999999
